Date,HoursOfSun,City,District,Season,Sun_Rise,Sun_Set,Moon_Rise,Moon_Set,Moon_Phase,Moon_Age,Temperature_Minimum_Value,Temperature_Maximum_Value,RealFeelTemperature_Minimum_Value,RealFeelTemperature_Minimum_Phrase,RealFeelTemperature_Maximum_Value,RealFeelTemperature_Maximum_Phrase,RealFeelTemperatureShade_Minimum_Value,RealFeelTemperatureShade_Minimum_Phrase,RealFeelTemperatureShade_Maximum_Value,RealFeelTemperatureShade_Maximum_Phrase,DegreeDaySummary_Heating_Value,DegreeDaySummary_Cooling_Value,Day_IconPhrase,Day_HasPrecipitation,Day_ShortPhrase,Day_LongPhrase,Day_PrecipitationProbability,Day_ThunderstormProbability,Day_RainProbability,Day_SnowProbability,Day_IceProbability,Day_Wind_Speed_Value,Day_Wind_Direction_Degrees,Day_Wind_Direction_Localized,Day_WindGust_Speed_Value,Day_WindGust_Direction_Degrees,Day_WindGust_Direction_Localized,Day_TotalLiquid_Value,Day_Rain_Value,Day_Snow_Value,Day_Ice_Value,Day_HoursOfPrecipitation,Day_HoursOfRain,Day_HoursOfSnow,Day_HoursOfIce,Day_CloudCover,Day_Evapotranspiration_Value,Day_SolarIrradiance_Value,Day_RelativeHumidity_Minimum,Day_RelativeHumidity_Maximum,Day_RelativeHumidity_Average,Day_WetBulbTemperature_Minimum_Value,Day_WetBulbTemperature_Maximum_Value,Day_WetBulbTemperature_Average_Value,Day_WetBulbGlobeTemperature_Minimum_Value,Day_WetBulbGlobeTemperature_Maximum_Value,Day_WetBulbGlobeTemperature_Average_Value,Night_IconPhrase,Night_HasPrecipitation,Night_ShortPhrase,Night_LongPhrase,Night_PrecipitationProbability,Night_ThunderstormProbability,Night_RainProbability,Night_SnowProbability,Night_IceProbability,Night_Wind_Speed_Value,Night_Wind_Direction_Degrees,Night_Wind_Direction_Localized,Night_WindGust_Speed_Value,Night_WindGust_Direction_Degrees,Night_WindGust_Direction_Localized,Night_TotalLiquid_Value,Night_Rain_Value,Night_Snow_Value,Night_Ice_Value,Night_HoursOfPrecipitation,Night_HoursOfRain,Night_HoursOfSnow,Night_HoursOfIce,Night_CloudCover,Night_Evapotranspiration_Value,Night_SolarIrradiance_Value,Night_RelativeHumidity_Minimum,Night_RelativeHumidity_Maximum,Night_RelativeHumidity_Average,Night_WetBulbTemperature_Minimum_Value,Night_WetBulbTemperature_Maximum_Value,Night_WetBulbTemperature_Average_Value,Night_WetBulbGlobeTemperature_Minimum_Value,Night_WetBulbGlobeTemperature_Maximum_Value,Night_WetBulbGlobeTemperature_Average_Value,AirAndPollen_AirQuality,AirAndPollen_Grass,AirAndPollen_Mold,AirAndPollen_Ragweed,AirAndPollen_Tree,AirAndPollen_UVIndex,Day_PrecipitationType,Day_PrecipitationIntensity
2024-11-01 19:16:18.465195,10.4,Afyonkarahisar,,Autumn,2024-11-01T07:25:00+03:00,2024-11-01T17:57:00+03:00,2024-11-01T07:16:00+03:00,2024-11-01T17:41:00+03:00,New,0,1.67,16.11,2.78,Cold,18.89,Pleasant,2.78,Cold,16.67,Cool,-8.33,-17.78,Sunny,False,Plenty of sunshine,Plenty of sunshine,1,0,1,0,0,5.63,136,SE,27.84,97,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.778,4252.3,40,88,58,1.67,9.44,6.67,2.22,13.33,9.44,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,5.63,120,ESE,14.81,103,ESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,53,87,80,1.67,7.22,3.33,2.78,10.0,4.44,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.471739,10.5,Afyonkarahisar,Afyonkarahisar Sandıklı,Autumn,2024-11-01T07:26:00+03:00,2024-11-01T17:59:00+03:00,2024-11-01T07:16:00+03:00,2024-11-01T17:43:00+03:00,New,0,2.22,16.11,1.67,Cold,18.33,Pleasant,1.67,Cold,16.67,Cool,-8.33,-17.78,Sunny,False,Plenty of sun,Plenty of sun,1,0,1,0,0,7.4,65,ENE,25.91,64,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.032,4280.3,39,88,56,2.78,9.44,7.22,3.33,13.33,10.0,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,5.63,66,ENE,13.04,74,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,52,92,80,1.67,7.78,3.89,2.22,10.0,5.0,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.476726,10.5,Afyonkarahisar,Afyonkarahisar Dinar,Autumn,2024-11-01T07:26:00+03:00,2024-11-01T18:00:00+03:00,2024-11-01T07:16:00+03:00,2024-11-01T17:44:00+03:00,New,0,2.22,21.11,3.33,Cold,21.11,Pleasant,3.33,Cold,20.0,Pleasant,-11.11,-17.78,Sunny,False,Abundant sunshine,Abundant sunshine,0,0,0,0,0,5.63,49,NE,16.74,300,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.2859999999999996,4370.4,22,76,42,3.33,10.0,6.67,5.0,15.56,10.56,Clear,False,Clear and chilly,Clear and chilly,0,0,0,0,0,9.33,30,NNE,14.81,250,WSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.254,0.0,36,79,62,2.78,8.33,5.0,3.89,11.67,7.78,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.483282,10.4,Afyonkarahisar,Afyonkarahisar Bolvadin,Autumn,2024-11-01T07:23:00+03:00,2024-11-01T17:55:00+03:00,2024-11-01T07:13:00+03:00,2024-11-01T17:39:00+03:00,New,0,1.67,15.56,2.78,Cold,16.67,Cool,2.78,Cold,15.0,Cool,-8.33,-17.78,Sunny,False,Plenty of sun,Plenty of sun,1,0,1,0,0,9.33,87,E,29.61,101,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.032,4243.7,36,86,55,2.22,8.33,6.67,2.78,12.22,8.89,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,7.4,76,ENE,16.74,73,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,53,86,75,1.67,6.11,3.33,2.78,8.33,5.0,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.488779,10.4,Afyonkarahisar,Afyonkarahisar Sinanpasa,Autumn,2024-11-01T07:26:00+03:00,2024-11-01T17:58:00+03:00,2024-11-01T07:17:00+03:00,2024-11-01T17:42:00+03:00,New,0,1.67,16.11,2.78,Cold,18.89,Pleasant,2.78,Cold,16.67,Cool,-8.33,-17.78,Sunny,False,Plenty of sunshine,Plenty of sunshine,1,0,1,0,0,5.63,136,SE,27.84,97,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.778,4252.3,40,88,58,1.67,9.44,6.67,2.22,13.33,9.44,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,5.63,120,ESE,14.81,103,ESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,53,87,80,1.67,7.22,3.33,2.78,10.0,4.44,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.494282,9.4,Afyonkarahisar,Afyonkarahisar Emirdag,Autumn,2024-11-01T07:23:00+03:00,2024-11-01T17:54:00+03:00,2024-11-01T07:14:00+03:00,2024-11-01T17:38:00+03:00,New,0,1.67,16.67,2.22,Cold,17.22,Pleasant,2.22,Cold,15.56,Cool,-8.33,-17.78,Mostly sunny,False,Mostly sunny,Mostly sunny,1,0,1,0,0,7.4,56,NE,22.21,103,ESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2.032,4181.2,39,89,59,2.78,9.44,7.22,3.33,13.33,9.44,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,7.4,137,SE,14.81,122,ESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,56,84,75,1.67,6.67,3.33,2.22,8.89,5.0,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.499774,10.5,Afyonkarahisar,Afyonkarahisar Suhut,Autumn,2024-11-01T07:25:00+03:00,2024-11-01T17:57:00+03:00,2024-11-01T07:15:00+03:00,2024-11-01T17:41:00+03:00,New,0,2.22,16.11,1.67,Cold,18.33,Pleasant,1.67,Cold,16.67,Cool,-8.33,-17.78,Sunny,False,Plenty of sun,Plenty of sun,1,0,1,0,0,7.4,65,ENE,25.91,64,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.032,4280.3,39,88,56,2.78,9.44,7.22,3.33,13.33,10.0,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,5.63,66,ENE,13.04,74,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,52,92,80,1.67,7.78,3.89,2.22,10.0,5.0,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.505281,10.5,Afyonkarahisar,Afyonkarahisar Cay,Autumn,2024-11-01T07:23:00+03:00,2024-11-01T17:55:00+03:00,2024-11-01T07:13:00+03:00,2024-11-01T17:39:00+03:00,New,0,5.0,17.78,5.0,Chilly,19.44,Pleasant,5.0,Chilly,17.78,Pleasant,-10.56,-17.78,Sunny,False,Plenty of sunshine,Plenty of sunshine,1,0,1,0,0,7.4,108,ESE,29.61,98,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.032,4281.2,40,87,60,4.44,10.56,8.33,5.56,14.44,11.11,Mostly clear,False,Mainly clear,Mainly clear,1,0,1,0,0,7.4,130,SE,18.51,123,ESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,61,84,78,4.44,8.33,6.11,5.56,10.56,7.22,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.510784,9.2,Afyonkarahisar,Afyonkarahisar Ihsaniye,Autumn,2024-11-01T07:26:00+03:00,2024-11-01T17:57:00+03:00,2024-11-01T07:17:00+03:00,2024-11-01T17:41:00+03:00,New,0,0.56,15.56,1.67,Cold,16.11,Cool,1.67,Cold,14.44,Cool,-7.22,-17.78,Mostly sunny,False,Mostly sunny,Mostly sunny,1,0,1,0,0,9.33,83,E,27.84,97,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.032,4136.7,38,83,55,2.22,8.33,6.11,2.78,11.67,8.89,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,7.4,94,E,18.51,58,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,54,83,76,0.56,6.11,2.78,1.11,8.33,3.89,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.516838,10.5,Afyonkarahisar,Afyonkarahisar Iscehisar,Autumn,2024-11-01T07:25:00+03:00,2024-11-01T17:56:00+03:00,2024-11-01T07:15:00+03:00,2024-11-01T17:40:00+03:00,New,0,2.22,16.67,3.89,Cold,18.89,Pleasant,3.89,Cold,16.67,Cool,-8.89,-17.78,Sunny,False,Plenty of sun,Plenty of sun,1,0,1,0,0,5.63,57,ENE,29.61,94,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4257.3,35,77,50,3.33,8.89,6.11,4.44,13.33,9.44,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,3.7,128,SE,11.1,144,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,46,81,67,2.22,7.78,4.44,3.33,10.56,6.67,Good,Low,Low,Low,Low,Moderate,,
